Source,Target,Type,Label,cost_pct,supplier_rev_pct,cost_category
Taiwan Semiconductor Manufacturing Co,NVIDIA Corp,Directed,SUPPLIES,37.35,19.04,COGS
SK hynix Inc,NVIDIA Corp,Directed,SUPPLIES,26.53,26.98,COGS
Wistron Corp,NVIDIA Corp,Directed,SUPPLIES,16.58,15.57,COGS
Micron Technology Inc,NVIDIA Corp,Directed,SUPPLIES,13.62,17.0,COGS
Teradyne Inc,NVIDIA Corp,Directed,SUPPLIES,8.44,10.01,CAPEX
Hon Hai Precision Industry Co,NVIDIA Corp,Directed,SUPPLIES,5.03,1.6,COGS
Flex Ltd,NVIDIA Corp,Directed,SUPPLIES,2.93,4.74,COGS
Fabrinet,NVIDIA Corp,Directed,SUPPLIES,2.13,27.6,COGS
ASE Technology Holding Co Ltd,NVIDIA Corp,Directed,SUPPLIES,2.08,8.01,COGS
Keysight Technologies Inc,NVIDIA Corp,Directed,SUPPLIES,1.43,4.93,RND
Ibiden Co Ltd,NVIDIA Corp,Directed,SUPPLIES,1.11,20.32,COGS
Amkor Technology Inc,NVIDIA Corp,Directed,SUPPLIES,0.98,7.47,COGS
Samsung Electronics Co Ltd,NVIDIA Corp,Directed,SUPPLIES,0.73,0.17,COGS
King Yuan Electronics Co Ltd,NVIDIA Corp,Directed,SUPPLIES,0.67,36.02,COGS
Monolithic Power Systems Inc,NVIDIA Corp,Directed,SUPPLIES,0.58,11.26,COGS
Quanta Computer Inc,NVIDIA Corp,Directed,SUPPLIES,0.56,0.66,COGS
BYD Co Ltd,NVIDIA Corp,Directed,SUPPLIES,0.5,0.03,COGS
Western Digital Corp,NVIDIA Corp,Directed,SUPPLIES,0.37,1.47,COGS
Jabil Inc,NVIDIA Corp,Directed,SUPPLIES,0.36,0.95,COGS
Oracle Corp,NVIDIA Corp,Directed,SUPPLIES,0.34,0.11,SGA
Intel Corp,NVIDIA Corp,Directed,SUPPLIES,0.3,0.26,COGS
Corning Inc,NVIDIA Corp,Directed,SUPPLIES,0.27,0.72,COGS
Coherent Corp,NVIDIA Corp,Directed,SUPPLIES,0.23,1.26,COGS
Kinsus Interconnect Technology,NVIDIA Corp,Directed,SUPPLIES,0.14,9.47,COGS
