id,ticker,industry,is_core,total_suppliers,total_customers
NVIDIA Corp,NVDA,Semiconductors,true,177,152
Taiwan Semiconductor Manufacturing Co,2330 TT,Semiconductors,true,120,94
ASML Holding NV,ASML NA,Semiconductors,true,13,12
SK hynix Inc,000660 KS,Semiconductors,true,12,15
Wistron Corp,3231 TT,Technology Hardware,true,7,8
Carl Zeiss SMT AG,1701392Z GR,Semiconductors,true,1,3
Nikon Corp,7731 JP,Technology Hardware,true,5,5
Micron Technology Inc,MU,Semiconductors,true,24,21
Teradyne Inc,TER,Semiconductors,true,5,8
Meta Platforms Inc,META,Internet Media & Services,true,12,0
Super Micro Computer Inc,SMCI,Technology Hardware,true,8,4
Ultra Clean Holdings Inc,UCTT,Technology Hardware,true,4,9
SK Inc,034730 KS,Conglomerate / Holding Company,true,5,4
Alphabet Inc,GOOGL,Internet Media & Services,true,0,0
Applied Materials Inc,AMAT,Semiconductors,true,10,6
Tokyo Electron Ltd,8035 JP,Technology Hardware,true,10,7
Amazon.com Inc,AMZN,E-Commerce Discretionary,true,9,2
Lam Research Corp,LRCX,Semiconductors,true,8,6
Microsoft Corp,MSFT,Software,true,12,3
Celestica Inc,CLS CN,Technology Hardware,true,5,15
MKS Inc,MKSI,Semiconductors,true,2,12
Ichor Holdings Ltd,ICHR,Technology Hardware,true,8,3
Dell Technologies Inc,DELL US,Technology Hardware,true,24,23
Wiwynn Corp,6669 TT,Technology Hardware,true,12,4
Oracle Corp,ORCL US,Software,true,24,24
Hon Hai Precision Industry Co,2317 TT,Technology Hardware,false,,
Flex Ltd,FLEX,Technology Hardware,false,,
Fabrinet,FN,Technology Hardware,false,,
ASE Technology Holding Co Ltd,ASX,Semiconductors,false,,
Keysight Technologies Inc,KEYS,Technology Hardware,false,,
Ibiden Co Ltd,4062 JP,Technology Hardware,false,,
Amkor Technology Inc,AMKR,Semiconductors,false,,
Samsung Electronics Co Ltd,005930 KS,Technology Hardware,false,,
King Yuan Electronics Co Ltd,2449 TT,Semiconductors,false,,
Monolithic Power Systems Inc,MPWR,Semiconductors,false,,
Quanta Computer Inc,2382 TT,Technology Hardware,false,,
BYD Co Ltd,002594 CH,Automobiles,false,,
Western Digital Corp,WDC,Technology Hardware,false,,
Jabil Inc,JBL,Technology Hardware,false,,
Intel Corp,INTC,Semiconductors,false,,
Corning Inc,GLW,Technology Hardware,false,,
Coherent Corp,COHR,Semiconductors,false,,
Kinsus Interconnect Technology,3189 TT,Technology Hardware,false,,
Astera Labs Inc,ALAB,Semiconductors,false,,
Tower Semiconductor Ltd,,Semiconductors,false,,
NetApp Inc,,Technology Hardware,false,,
TTM Technologies Inc,,Technology Hardware,false,,
Semtech Corp,,Semiconductors,false,,
ARM Holdings PLC,,Semiconductors,false,,
Alibaba Group Holding Ltd,,E-Commerce Discretionary,false,,
Yageo Corp,,Electronic Components,false,,
ON Semiconductor Corp,,Semiconductors,false,,
Vishay Intertechnology Inc,,Electronic Components,false,,
LEENO Industrial Inc,,Technology Hardware,false,,
Infosys Ltd,,IT Services,false,,
Cohu Inc,,Semiconductors,false,,
BE Semiconductor Industries NV,,Semiconductors,false,,
Nutanix Inc,,Software,false,,
ISC Co Ltd,,Technology Hardware,false,,
Adobe Inc,,Software,false,,
TSE Co Ltd,,Technology Hardware,false,,
Diodes Inc,,Semiconductors,false,,
Suzhou UIGreen Micro&Nano Tech,,Semiconductors,false,,
Clariant AG,,Chemicals,false,,
SOITEC,,Semiconductors,false,,
Alpha & Omega Semiconductor Ltd,,Semiconductors,false,,
UPI Semiconductor Corp,,Semiconductors,false,,
Dolby Laboratories Inc,,Software,false,,
Duksan Hi-Metal Co Ltd,,Chemicals,false,,
Calnex Solutions PLC,,Technology Hardware,false,,
inTEST Corp,,Semiconductors,false,,
Luminar Technologies Inc,,Automotive Parts,false,,
Bango PLC,,Software,false,,
Skardin Industrial Corp,,Technology Hardware,false,,
PDF Solutions Inc,,Software,false,,
LianChuang Electronic Technolo,,Electronic Components,false,,
TaiSol Electronics Co Ltd,,Technology Hardware,false,,
Precise Biometrics AB,,Software,false,,
NBTM New Materials Group Co Ltd,,Chemicals,false,,
Siltronic AG,,Semiconductors,false,,
Taiwan Semiconductor Co Ltd,,Semiconductors,false,,
Altium Ltd,,Software,false,,
Himax Technologies Inc,,Semiconductors,false,,
ADATA Technology Co Ltd,,Technology Hardware,false,,
Chenbro Micom Co Ltd,,Technology Hardware,false,,
ON24 Inc,,Software,false,,
AT&S Austria Technologie & Sys,,Technology Hardware,false,,
Renesas Electronics Corp,,Semiconductors,false,,
Equinix Inc,,Real Estate,false,,
